,loss,accuracy,val_loss,val_accuracy,lr
0,5.469215393066406,0.4719351828098297,4.531745910644531,0.7444963455200195,1e-04
1,4.3809990882873535,0.660521388053894,3.9857027530670166,0.7431620955467224,1e-04
2,3.717982769012451,0.700798511505127,3.4535839557647705,0.7871914505958557,1e-04
3,3.2193968296051025,0.7342649102210999,3.405731201171875,0.6477651596069336,1e-04
4,2.805485486984253,0.7653828263282776,2.8314895629882812,0.7665110230445862,1e-04
5,2.466465711593628,0.796383261680603,2.5281407833099365,0.8292194604873657,5e-05
6,2.229933261871338,0.8404180407524109,2.438631057739258,0.80787193775177,5e-05
7,2.079289436340332,0.8404180407524109,2.2455384731292725,0.8212141394615173,5e-05
8,1.9293005466461182,0.857092559337616,2.108132839202881,0.8478986024856567,2.5e-05
9,1.8191087245941162,0.8767026662826538,2.1075143814086914,0.8318879008293152,2.5e-05
10,1.7322545051574707,0.8890324234962463,2.0469725131988525,0.8325550556182861,2.5e-05
11,1.6628001928329468,0.9024189710617065,1.9870463609695435,0.8418945670127869,1.25e-05
12,1.6130642890930176,0.904650092124939,1.956783652305603,0.8478986024856567,1.25e-05
13,1.5684623718261719,0.9122827649116516,1.8999743461608887,0.8539025783538818,1e-05
14,1.5321340560913086,0.9221465587615967,1.9093914031982422,0.8485656976699829,1e-05
15,1.497727870941162,0.9188586473464966,1.8781965970993042,0.8418945670127869,1e-05
16,1.4519613981246948,0.9271958470344543,1.8335630893707275,0.8445630669593811,1e-05
17,1.4258184432983398,0.9214419722557068,1.8049516677856445,0.8572381734848022,1e-05
18,1.3800220489501953,0.9293095469474792,1.7489737272262573,0.8639092445373535,1e-05
19,1.3558037281036377,0.9308360815048218,1.7018625736236572,0.8719146251678467,1e-05
20,1.3231010437011719,0.9316580295562744,1.6899428367614746,0.855236828327179,1e-05
21,1.2823246717453003,0.9368247985839844,1.6644974946975708,0.8545697331428528,1e-05
22,1.2432001829147339,0.9347111582756042,1.5984305143356323,0.8659105896949768,1e-05
23,1.2125093936920166,0.9437529444694519,1.5756951570510864,0.8725817203521729,1e-05
24,1.1711242198944092,0.943048357963562,1.5754539966583252,0.8652434945106506,1e-05
25,1.1388012170791626,0.9436355233192444,1.5470092296600342,0.8639092445373535,1e-05
26,1.101219892501831,0.9469234347343445,1.5104985237121582,0.8672448396682739,1e-05
27,1.06508469581604,0.9477454423904419,1.4632762670516968,0.8625750541687012,1e-05
28,1.047376036643982,0.9411695599555969,1.4234492778778076,0.8659105896949768,1e-05
29,1.0050466060638428,0.951033353805542,1.4272745847702026,0.8565710186958313,1e-05
